,question,answer,qtype
5053,What is the relationship between nonlinear complementarity problems and Nash equilibria?,nonlinear complementarity problems characterize Nash equilibria.,2
5054,What is the relationship between part-time work and worse health outcomes?,part-time work associate worse health outcomes.,2
5055,What is the relationship between involuntary part-time work and worse health outcomes?,involuntary part-time work associate worse health outcomes.,2
5056,What is the relationship between social policies and health of workers?,social policies enhance health of workers.,2
5057,What is the relationship between stochastic form of symbolic execution and almost everywhere differentiability?,stochastic form of symbolic execution reason almost everywhere differentiability.,2
5058,What is the relationship between prices on application for reimbursement and incremental cost-effectiveness ratios (ICERs)?,prices on application for reimbursement base incremental cost-effectiveness ratios (ICERs).,2
5059,What is the relationship between additive manufacturing and supporting teaching materials?,additive manufacturing use supporting teaching materials.,2
5060,What is the relationship between real-time RT-PCR (rRT-PCR) and IAV and subtype?,real-time RT-PCR (rRT-PCR) identify IAV and subtype.,2
5061,What is the relationship between R software and descriptive analysis of data?,R software do descriptive analysis of data.,2
5062,What is the relationship between Ab levels and COVID-19 severity?,Ab levels relate COVID-19 severity.,2
5063,What is the relationship between circular economy (CE) adoption and environmental sustainability?,circular economy (CE) adoption guarantee environmental sustainability.,2
5064,What is the relationship between screenings and in-hospital stays?,screenings reduce in-hospital stays.,2
5065,What is the relationship between IgG antibodies levels and Immunogenicity?,IgG antibodies levels determine Immunogenicity.,2
5066,What is the relationship between learning algorithms and behavior?,learning algorithms base behavior.,2
5067,What is the relationship between recommender systems and digital mental health apps?,recommender systems for digital mental health apps.,2
5068,What is the relationship between DMH apps and recommender systems?,DMH apps implement recommender systems.,2
5069,What is the relationship between auxetic metamaterials and biomedical devices?,auxetic metamaterials for biomedical devices.,2
5070,What is the relationship between AMS in emergency department (ED) patients with COVID-19 and in-hospital mortality?,AMS in emergency department (ED) patients with COVID-19 associate in-hospital mortality.,2
5071,What is the relationship between Malaria and human health?,Malaria affect human health.,2
5072,What is the relationship between China-Africa collaboration and malaria?,China-Africa collaboration control malaria.,2
5073,What is the relationship between clause sharing policies and parallel SAT solvers?,clause sharing policies rely parallel SAT solvers.,2
5074,What is the relationship between metric and highquality learnt clauses?,metric identify highquality learnt clauses.,2
5075,What is the relationship between metric and high-quality clauses?,metric identify high-quality clauses.,2
5076,What is the relationship between COVID-19 and YLDs?,COVID-19 attributable YLDs.,2
5077,What is the relationship between COVID-19 and YLLs?,COVID-19 cause YLLs.,2
5078,What is the relationship between CT images and evolution of the ground glass in the lung?,CT images identify evolution of the ground glass in the lung.,2
5079,What is the relationship between This method and modern diseases?,This method detect modern diseases.,2
5080,What is the relationship between transformation model and image registration process?,transformation model base image registration process.,2
5081,What is the relationship between MI metric and multimodal image registration?,MI metric use multimodal image registration.,2
5082,What is the relationship between situations and eating habits?,situations alter eating habits.,2
5083,What is the relationship between lockdown measures and nutrition behavior among young adults?,lockdown measures effect nutrition behavior among young adults.,2
5084,What is the relationship between combination drugs and pro-inflammatory markers?,combination drugs reduce pro-inflammatory markers.,2
5085,What is the relationship between multivariate logistic regression and access and adherence?,multivariate logistic regression assess access and adherence.,2
5086,What is the relationship between surveys and treatment adherence?,surveys measure treatment adherence.,2
5087,What is the relationship between QIs and critical care?,QIs evaluate critical care.,2
5088,What is the relationship between mental disorders and disability in children and adolescents?,mental disorders cause disability in children and adolescents.,2
5089,What is the relationship between supportive relationships and poor mental health in children?,supportive relationships protective poor mental health in children.,2
5090,What is the relationship between legal contracts and trust?,legal contracts guarantee trust.,2
5091,What is the relationship between SARS-CoV-2 and coronavirus disease?,SARS-CoV-2 cause coronavirus disease.,2
5092,What is the relationship between traceable fixed contacts and health authorities?,traceable fixed contacts rely health authorities.,2
5093,What is the relationship between preemptive isolation protocol and second nearest neighbors of the hospitalized individuals?,preemptive isolation protocol isolate second nearest neighbors of the hospitalized individuals.,2
5094,What is the relationship between GTC and aquatic life?,GTC harm aquatic life.,2
5095,"What is the relationship between radio-frequency ""mobile"" d-GNSS network and displacement trends?","radio-frequency ""mobile"" d-GNSS network capture displacement trends.",2
5096,What is the relationship between Teachers and literacy needs?,Teachers provide literacy needs.,2
5097,What is the relationship between presence of an electric field and migration barriers?,presence of an electric field affect migration barriers.,2
5098,What is the relationship between optimal control strategies and fractional system?,optimal control strategies for fractional system.,2
5099,What is the relationship between mathematical analysis and vital public health decisions?,mathematical analysis make vital public health decisions.,2
5100,What is the relationship between non-pharmaceutical intervention strategies and COVID-19 mortality?,non-pharmaceutical intervention strategies impact COVID-19 mortality.,2
5101,What is the relationship between face coverings and spread of the virus?,face coverings limit spread of the virus.,2
5102,What is the relationship between non-integer order derivatives and epidemic models?,non-integer order derivatives solve epidemic models.,2
5103,What is the relationship between convenient online platform and online learning?,convenient online platform due online learning.,2
5104,What is the relationship between free-text entry questions and safety of care?,free-text entry questions relation safety of care.,2
5105,What is the relationship between deductive content analysis approach and free-text responses?,deductive content analysis approach code free-text responses.,2
5106,What is the relationship between patients' perceptions and SC?,patients' perceptions measure SC.,2
5107,What is the relationship between COVID-19 pandemic and LDKT practice?,COVID-19 pandemic impact LDKT practice.,2
5108,What is the relationship between COVID-19 contraction and vaccination booster?,COVID-19 contraction mimic vaccination booster.,2
5109,What is the relationship between CDC WONDER and HF deaths?,CDC WONDER identify HF deaths.,2
5110,What is the relationship between BCG vaccine and SARS-CoV2?,BCG vaccine protection SARS-CoV2.,2
5111,What is the relationship between fatal complications of COVID-19 infection and poor clinical outcome?,fatal complications of COVID-19 infection lead poor clinical outcome.,2
5112,What is the relationship between BCG vaccine and antiviral immune response?,BCG vaccine provide antiviral immune response.,2
5113,What is the relationship between internet-based patient portal MyChart and quality healthcare services?,internet-based patient portal MyChart provide quality healthcare services.,2
5114,What is the relationship between nucleic acid tests (NATs) and in vitro diagnostic assays?,nucleic acid tests (NATs) use in vitro diagnostic assays.,2
5115,What is the relationship between dPCR and inactivated whole virus?,dPCR quantify inactivated whole virus.,2
5116,What is the relationship between Snow Agent system and national level in Norway?,Snow Agent system scale national level in Norway.,2
5117,What is the relationship between earlier gating of oddball stimuli and expansion of time attributed to oddball presentation?,earlier gating of oddball stimuli due expansion of time attributed to oddball presentation.,2
5118,What is the relationship between effect of an oddball and later gating of these stimuli?,effect of an oddball compensate later gating of these stimuli.,2
5119,What is the relationship between Covid-19 pandemic and Otolaryngology outpatient clinical practice?,Covid-19 pandemic impact Otolaryngology outpatient clinical practice.,2
5120,What is the relationship between vaccine candidate and lactogenic immunity?,vaccine candidate boost lactogenic immunity.,2
5121,What is the relationship between smell change based calculators and COVID-19 status?,smell change based calculators predict COVID-19 status.,2
5122,What is the relationship between calculator and COVID-19 laboratory testing?,calculator prioritize COVID-19 laboratory testing.,2
5123,What is the relationship between SOARS and agent activities?,SOARS describe agent activities.,2
5124,What is the relationship between Java language and built-in frinctional objects?,Java language implement built-in frinctional objects.,2
5125,What is the relationship between Brief Religious Coping Scale (Brief RCOPE) and anxiety?,Brief Religious Coping Scale (Brief RCOPE) measure anxiety.,2
5126,What is the relationship between positive religious coping and depression?,positive religious coping associate depression.,2
5127,What is the relationship between Escherichia coli (E. coli) infection and proportion of beneficial bacteria?,Escherichia coli (E. coli) infection decrease proportion of beneficial bacteria.,2
5128,What is the relationship between Lactobacillus administration and microbial community structure of E. coli-induced diarrheal mice?,Lactobacillus administration ameliorate microbial community structure of E. coli-induced diarrheal mice.,2
5129,What is the relationship between Lactobacillus supplementation and gut microbiota?,Lactobacillus supplementation improve gut microbiota.,2
5130,What is the relationship between statistical techniques and affinities in research preferences among them?,statistical techniques examine affinities in research preferences among them.,2
5131,What is the relationship between cosine similarity and affinities in research preferences among them?,cosine similarity examine affinities in research preferences among them.,2
5132,What is the relationship between statistical techniques and affinities in research preferences among them?,statistical techniques compare affinities in research preferences among them.,2
5133,What is the relationship between PFO closure and EPS?,PFO closure for EPS.,2
5134,What is the relationship between frameworks and transdisciplinary meta-perspective of resilience?,frameworks contribute transdisciplinary meta-perspective of resilience.,2
5135,What is the relationship between subepithelial CD3 + T cells and PEDV invasion through the nasal cavity in neonatal piglets?,subepithelial CD3 + T cells mediate PEDV invasion through the nasal cavity in neonatal piglets.,2
5136,What is the relationship between apoptosis and pathogenesis of NGVE disease?,apoptosis role pathogenesis of NGVE disease.,2
5137,What is the relationship between distributed digital practices and teams?,distributed digital practices make teams.,2
5138,What is the relationship between organizational strategy and digital innovation?,organizational strategy towards digital innovation.,2
5139,What is the relationship between shared understanding and knowledge sharing in distributed ISD contexts?,shared understanding crucial knowledge sharing in distributed ISD contexts.,2
5140,What is the relationship between relational trust and knowledge sharing in distributed ISD contexts?,relational trust crucial knowledge sharing in distributed ISD contexts.,2
5141,What is the relationship between Tools and knowledge sharing?,Tools facilitate knowledge sharing.,2
5142,What is the relationship between Tools and collaborative practices?,Tools support collaborative practices.,2
5143,What is the relationship between coronavirus and neurological symptoms?,coronavirus cause neurological symptoms.,2
5144,What is the relationship between COVID-19 and nervous system performance?,COVID-19 relate nervous system performance.,2
5145,What is the relationship between STROBE Statement and quality of the included studies?,STROBE Statement evaluate quality of the included studies.,2
5146,What is the relationship between Human-centered design (HCD) training and team processes and products?,Human-centered design (HCD) training improve team processes and products.,2
5147,What is the relationship between HCD and quality of team science?,HCD improve quality of team science.,2
5148,What is the relationship between Braun and Clarke's process and thematic analysis?,Braun and Clarke's process for thematic analysis.,2
5149,What is the relationship between HCD and research design?,HCD relevant research design.,2
5150,What is the relationship between scales and patient survival in advanced cancer?,scales estimate patient survival in advanced cancer.,2
5151,What is the relationship between Anti-HMGB1 mAb and survival rate of H1N1-inoculated mice?,Anti-HMGB1 mAb improve survival rate of H1N1-inoculated mice.,2
5152,What is the relationship between Chern-Simons currents and position of the given mutations within the genetic string?,Chern-Simons currents infer position of the given mutations within the genetic string.,2
5153,What is the relationship between theory and interactions 6 occuring among macro molecules?,theory predict interactions 6 occuring among macro molecules.,2
5154,What is the relationship between schematization approaches and spatial configuration assumed by the system?,schematization approaches understand spatial configuration assumed by the system.,2
5155,What is the relationship between psychological distress and life satisfaction?,psychological distress relationship life satisfaction.,2
5156,What is the relationship between fear of COVID-19 and life satisfaction?,fear of COVID-19 relationship life satisfaction.,2
5157,What is the relationship between fear of COVID-19 and psychological distress?,fear of COVID-19 associate psychological distress.,2
5158,What is the relationship between fear of COVID-19 and life satisfaction?,fear of COVID-19 associate life satisfaction.,2
5159,What is the relationship between immune stimulation and X. laevis RTPs?,immune stimulation upregulated X. laevis RTPs.,2
5160,What is the relationship between single nucleotide polymorphisms (SNPs) and leukocyte telomere length (LTL)?,single nucleotide polymorphisms (SNPs) predictive leukocyte telomere length (LTL).,2
5161,What is the relationship between genetically determined long and short telomere length and disease risk and burden?,genetically determined long and short telomere length associate disease risk and burden.,2
5162,What is the relationship between phenotype and gene expression?,phenotype associate gene expression.,2
5163,What is the relationship between exploratory data analysis (EDA) and phenotype-cell type association?,exploratory data analysis (EDA) investigate phenotype-cell type association.,2
5164,What is the relationship between tools and information?,tools display information.,2
5165,What is the relationship between heatmap and gene expression data?,heatmap visualize gene expression data.,2
5166,What is the relationship between Tools and phenotype-cell type association in terms of gene expression?,Tools detect phenotype-cell type association in terms of gene expression.,2
5167,What is the relationship between cell type hierarchical structure and cell clustering results in scRNA-seq data?,cell type hierarchical structure evaluate cell clustering results in scRNA-seq data.,2
5168,What is the relationship between TreeCorTreat plot and association information in such data?,TreeCorTreat plot summarize association information in such data.,2
5169,What is the relationship between recombinase polymerase amplification and detection system?,recombinase polymerase amplification rely detection system.,2
5170,What is the relationship between Cas13a-based detection system and TSWV in samples of tomato leaves?,Cas13a-based detection system detect TSWV in samples of tomato leaves.,2
5171,What is the relationship between National Health Service protocols and elective BMS' resumption?,National Health Service protocols permit elective BMS' resumption.,2
5172,What is the relationship between vitamin D and COVID-19 pandemic?,vitamin D role COVID-19 pandemic.,2
5173,What is the relationship between vitamin D supplementation and COVID-19?,vitamin D supplementation prevention COVID-19.,2
5174,What is the relationship between vitamin D supplementation and COVID-19?,vitamin D supplementation treatment COVID-19.,2
5175,What is the relationship between outbreak and early mortality in KZN?,outbreak inflate early mortality in KZN.,2
5176,What is the relationship between This and public health responses?,This inform public health responses.,2
5177,What is the relationship between disorders and prolonged ventilator dependency?,disorders cause prolonged ventilator dependency.,2
5178,What is the relationship between digital technology and food safety supervision?,digital technology role food safety supervision.,2
5179,What is the relationship between loss of insurance from unemployment and cancer screening?,loss of insurance from unemployment obstacles cancer screening.,2
5180,What is the relationship between Ampliseq assay and high quality data?,Ampliseq assay generate high quality data.,2
5181,What is the relationship between acute inflammatory responses and chronic inflammatory processes?,acute inflammatory responses promote chronic inflammatory processes.,2
5182,What is the relationship between defective immunoregulation of middle inflammation and chronic inflammatory processes?,defective immunoregulation of middle inflammation promote chronic inflammatory processes.,2
5183,What is the relationship between Cytokines and middle ear inflammation?,Cytokines regulators middle ear inflammation.,2
5184,What is the relationship between Cytokines and molecular Á /pathological processes?,Cytokines induce molecular Á /pathological processes.,2
5185,What is the relationship between screen use in early childhood and vulnerability in school readiness?,screen use in early childhood associate vulnerability in school readiness.,2
5186,What is the relationship between screen use and individual EDI domains scores?,screen use associate individual EDI domains scores.,2
5187,What is the relationship between screen use and overall vulnerability in school readiness?,screen use association overall vulnerability in school readiness.,2
5188,What is the relationship between GCNs and rare link types?,GCNs learn rare link types.,2
5189,What is the relationship between inductive RGCN and informative relation embeddings?,inductive RGCN learn informative relation embeddings.,2
5190,What is the relationship between AMI and ADHF hospitalization rates and SOE and Reopening orders?,AMI and ADHF hospitalization rates correlate SOE and Reopening orders.,2
5191,What is the relationship between COVID-19 pandemic and treatment access for people with SUDs?,COVID-19 pandemic impact treatment access for people with SUDs.,2
5192,What is the relationship between targeted delivery of drugs to the glomeruli and glomerular endothelial damage?,targeted delivery of drugs to the glomeruli ameliorate glomerular endothelial damage.,2
5193,What is the relationship between PLNs and inflammation?,PLNs inhibit inflammation.,2
5194,What is the relationship between PLNs and endothelial damage?,PLNs inhibit endothelial damage.,2
5195,What is the relationship between PLNs and endothelial damage?,PLNs reduce endothelial damage.,2
5196,What is the relationship between PLNs and CKD severity?,PLNs alleviate CKD severity.,2
5197,What is the relationship between PLNs and toxicity of CLT?,PLNs reduce toxicity of CLT.,2
5198,What is the relationship between CLT and level of NO?,CLT increase level of NO.,2
5199,What is the relationship between Obesity and pathogenesis of type 2 diabetes (T2DM)?,Obesity link pathogenesis of type 2 diabetes (T2DM).,2
5200,What is the relationship between Nicotine and energy balance?,Nicotine modulate energy balance.,2
5201,What is the relationship between Nicotine and lipid storage in adipose tissue?,Nicotine influence lipid storage in adipose tissue.,2
5202,What is the relationship between It and insulin resistance?,It increase insulin resistance.,2
5203,What is the relationship between It and abdominal obesity?,It promote abdominal obesity.,2
5204,What is the relationship between cigarette smoking and CVD risks in patients with diabetes?,cigarette smoking potentiate CVD risks in patients with diabetes.,2
5205,What is the relationship between nicotine replacement and weight gain?,nicotine replacement limit weight gain.,2
5206,What is the relationship between personalized weight management and weight gain?,personalized weight management limit weight gain.,2
5207,What is the relationship between lockdown measures and power sector?,lockdown measures impact power sector.,2
5208,What is the relationship between renewable scenarios and green transition of the Netherlands' power sector?,renewable scenarios represent green transition of the Netherlands' power sector.,2
5209,What is the relationship between simulated lockdown level and electricity demand?,simulated lockdown level decrease electricity demand.,2
5210,What is the relationship between worse off groups and residents' distress?,worse off groups alleviate residents' distress.,2
5211,What is the relationship between proof and viral infectious diseases?,proof treat viral infectious diseases.,2
5212,What is the relationship between double membrane vesicles and viral replication-transcription complex in cells?,double membrane vesicles anchor viral replication-transcription complex in cells.,2
5213,What is the relationship between ciclesonide and replication of all these mutants?,ciclesonide suppress replication of all these mutants.,2
5214,What is the relationship between antiviral 33 agents and the disease?,antiviral 33 agents combat the disease.,2
5215,What is the relationship between ciclesonide and replication of coronaviruses?,ciclesonide suppress replication of coronaviruses.,2
5216,What is the relationship between ciclesonide and COVID-19 pneumonia?,ciclesonide treat COVID-19 pneumonia.,2
5217,What is the relationship between social/physical distancing and spread of the virus?,social/physical distancing minimise spread of the virus.,2
5218,What is the relationship between ZIKV and severe clinical complications?,ZIKV associate severe clinical complications.,2
5219,What is the relationship between ZIKV and neurological disorder?,ZIKV associate neurological disorder.,2
5220,What is the relationship between tools and pathogenesis of ZIKV?,tools study pathogenesis of ZIKV.,2
5221,What is the relationship between COVID-19 and survival outcomes for trauma?,COVID-19 impact survival outcomes for trauma.,2
5222,What is the relationship between reovirus and encephalitis?,reovirus agent encephalitis.,2
5223,What is the relationship between real-time RT-PCR and PEDV?,real-time RT-PCR identify PEDV.,2
5224,What is the relationship between reduction and optimal features?,reduction select optimal features.,2
5225,What is the relationship between rad-score and multivariate Cox analysis?,rad-score integrate multivariate Cox analysis.,2
5226,What is the relationship between radiomics signature and prediction models?,radiomics signature base prediction models.,2
5227,What is the relationship between LASSO and radiomics features?,LASSO select radiomics features.,2
5228,What is the relationship between nomogram and PFS of patients?,nomogram predict PFS of patients.,2
5229,What is the relationship between math expression encoding method and math operation applied in solution steps?,math expression encoding method represent math operation applied in solution steps.,2
5230,What is the relationship between representations and math operations a student intends to perform in each solution step?,representations identify math operations a student intends to perform in each solution step.,2
5231,What is the relationship between parameters and prognosis of CLL?,parameters determine prognosis of CLL.,2
5232,What is the relationship between COVID-19 and more severe clinical manifestation upon pulmonary involvement?,COVID-19 associate more severe clinical manifestation upon pulmonary involvement.,2
5233,What is the relationship between unemployment and depression?,unemployment associate depression.,2
5234,What is the relationship between ME/CFS symptoms and vital life functions of the brainstem?,ME/CFS symptoms link vital life functions of the brainstem.,2
5235,What is the relationship between Magnetic Resonance Imaging (MRI) studies and ME/CFS?,Magnetic Resonance Imaging (MRI) studies understand ME/CFS.,2
5236,What is the relationship between MRI studies and structural changes in the white and gray matter?,MRI studies report structural changes in the white and gray matter.,2
5237,What is the relationship between brainstem and ME/CFS?,brainstem role ME/CFS.,2
5238,What is the relationship between COVID-19 and mental health conditions?,COVID-19 exacerbate mental health conditions.,2
5239,What is the relationship between SDHs and depression?,SDHs relationship depression.,2
5240,What is the relationship between SDHs and depression outcomes?,SDHs effect depression outcomes.,2
5241,What is the relationship between aerosol exposure and severity of disease in the Syrian hamster?,aerosol exposure increase severity of disease in the Syrian hamster.,2
5242,What is the relationship between neutralization escape selection experiments and critical residues of both antibodies?,neutralization escape selection experiments map critical residues of both antibodies.,2
5243,What is the relationship between cocktail like AZD7442 and escape from emerging variant viruses?,cocktail like AZD7442 prevent escape from emerging variant viruses.,2
5244,What is the relationship between SARS-CoV-2 and coronavirus disease 2019 (COVID-19) pandemic?,SARS-CoV-2 cause coronavirus disease 2019 (COVID-19) pandemic.,2
5245,What is the relationship between S glycoprotein and viral 77 attachment?,S glycoprotein mediate viral 77 attachment.,2
5246,What is the relationship between S1 subunit and ACE2?,S1 subunit bind ACE2.,2
5247,What is the relationship between human 85 mAbs and disease in animal models?,human 85 mAbs protect disease in animal models.,2
5248,What is the relationship between mAbs and RBD?,mAbs target RBD.,2
5249,What is the relationship between noncompeting antibodies and SARS-CoV-2 in vitro?,noncompeting antibodies neutralize SARS-CoV-2 in vitro.,2
5250,What is the relationship between HCDR3 and 126 the interaction?,HCDR3 affect 126 the interaction.,2
5251,What is the relationship between COV2-2196 and receptor-binding ridge on the RBD?,COV2-2196 recognize receptor-binding ridge on the RBD.,2
5252,What is the relationship between anti-influenza antibodies and virus-induced macrophage lysis?,anti-influenza antibodies suppress virus-induced macrophage lysis.,2
5253,What is the relationship between humoral innnune responses and virus-induced macrophage lysis?,humoral innnune responses influence virus-induced macrophage lysis.,2
5254,What is the relationship between COVID-19 pandemic and psychosocial consequences?,COVID-19 pandemic cause psychosocial consequences.,2
5255,What is the relationship between coronavirus tropism for endocrine tissues and epidemiology of T1D?,coronavirus tropism for endocrine tissues influence epidemiology of T1D.,2
5256,What is the relationship between deep sequential prediction model (DSPM) and COVID-19 spread?,deep sequential prediction model (DSPM) prediction COVID-19 spread.,2
5257,What is the relationship between non-parametric regression model (NRM) and spread of COVID-19?,non-parametric regression model (NRM) predict spread of COVID-19.,2
5258,What is the relationship between deep learning technique and spread of COVID-19?,deep learning technique predict spread of COVID-19.,2
5259,What is the relationship between Deep Sequential Prediction Model (DSPM) and spread of COVID-19?,Deep Sequential Prediction Model (DSPM) predict spread of COVID-19.,2
5260,What is the relationship between machine learning based Non-parametric Regression Model (NRM) and spread of COVID-19?,machine learning based Non-parametric Regression Model (NRM) predict spread of COVID-19.,2
5261,What is the relationship between earlier BAL specimen testing and timely medical intervention?,earlier BAL specimen testing result timely medical intervention.,2
5262,What is the relationship between autophagy machinery and such vesicles?,autophagy machinery formation such vesicles.,2
5263,What is the relationship between inhibition of the elongation complex and formation of the wildtype MW phenotype?,inhibition of the elongation complex impair formation of the wildtype MW phenotype.,2
5264,What is the relationship between autophagy proteins and wild-type MWs?,autophagy proteins formation wild-type MWs.,2
5265,What is the relationship between HCV and autophagosome formation in vitro?,HCV induce autophagosome formation in vitro.,2
5266,What is the relationship between HCV infection and mitophagy?,HCV infection induce mitophagy.,2
5267,What is the relationship between degradation of mitochondria and HCV replication?,degradation of mitochondria enhance HCV replication.,2
5268,What is the relationship between degradation of mitochondria and cellular apoptosis?,degradation of mitochondria suppress cellular apoptosis.,2
5269,What is the relationship between HCV infection and autophagy?,HCV infection induce autophagy.,2
5270,What is the relationship between HCV-induced autophagy and host microbial defense mechanisms?,HCV-induced autophagy evade host microbial defense mechanisms.,2
5271,What is the relationship between induction of autophagy and HCV replication?,induction of autophagy promote HCV replication.,2
5272,What is the relationship between induction of autophagy and protein translation?,induction of autophagy enhance protein translation.,2
5273,What is the relationship between autophagy and biogenesis of viral replication compartments?,autophagy role biogenesis of viral replication compartments.,2
5274,What is the relationship between ATG5 and viral polymerase (NS5B)?,ATG5 interact viral polymerase (NS5B).,2
5275,What is the relationship between autophagy proteins and assembly of the MW?,autophagy proteins involvement assembly of the MW.,2
5276,What is the relationship between ATG5-12/16L1 complex and HCV replication-cycle?,ATG5-12/16L1 complex role HCV replication-cycle.,2
5277,What is the relationship between steroids and mortality?,steroids reduce mortality.,2
5278,What is the relationship between Soaps and hand hygiene?,Soaps use hand hygiene.,2
5279,What is the relationship between hand sanitizers and hand hygiene?,hand sanitizers use hand hygiene.,2
5280,What is the relationship between Biosurfactants and ecofriendly hand hygiene?,Biosurfactants use ecofriendly hand hygiene.,2
5281,What is the relationship between plant secondary metabolites and ecofriendly hand hygiene?,plant secondary metabolites use ecofriendly hand hygiene.,2
5282,What is the relationship between alcohol-based hand rubs and hand hygiene?,alcohol-based hand rubs for hand hygiene.,2
5283,What is the relationship between hand sanitizers and COVID-19?,hand sanitizers fight COVID-19.,2
5284,What is the relationship between It and dengue fever?,It cause dengue fever.,2
5285,What is the relationship between It and dengue hemorrhagic fever?,It cause dengue hemorrhagic fever.,2
5286,What is the relationship between antiviral drug and dengue disease?,antiviral drug for dengue disease.,2
5287,What is the relationship between viral strains and immunodeficient mice?,viral strains infect immunodeficient mice.,2
5288,What is the relationship between COVID-19 vaccines and COVID-19 pandemic?,COVID-19 vaccines contain COVID-19 pandemic.,2
5289,What is the relationship between latent dirichlet allocation model and topics of negative tweets from the beginning of vaccination?,latent dirichlet allocation model identify topics of negative tweets from the beginning of vaccination.,2
5290,What is the relationship between public-concerned topics and negative sentiment at the beginning of the vaccination process?,public-concerned topics relate negative sentiment at the beginning of the vaccination process.,2
5291,What is the relationship between hybrid rush model and number of potential categories?,hybrid rush model estimate number of potential categories.,2
5292,What is the relationship between training and TBI-and AUD-related cognitive dysfunction?,training target TBI-and AUD-related cognitive dysfunction.,2
5293,What is the relationship between activity and cognitive performance across several executive functions?,activity associate cognitive performance across several executive functions.,2
5294,What is the relationship between steroid therapy and respiratory condition?,steroid therapy improve respiratory condition.,2
5295,What is the relationship between septal stimulation and compulsion to masturbate?,septal stimulation elicit compulsion to masturbate.,2
5296,What is the relationship between ACEI/ARB pharmacotherapy and COVID-19?,ACEI/ARB pharmacotherapy impact COVID-19.,2
5297,What is the relationship between it and glomerular filtration rate?,it measure glomerular filtration rate.,2
5298,What is the relationship between Cst C and pathologic processes?,Cst C link pathologic processes.,2
5299,What is the relationship between disturbances and older adults' health promotion?,disturbances challenge older adults' health promotion.,2
5300,What is the relationship between trust and social capital?,trust assess social capital.,2
5301,What is the relationship between informal social participation and social capital?,informal social participation assess social capital.,2
5302,What is the relationship between formal social participation and social capital?,formal social participation assess social capital.,2
5303,What is the relationship between informal and formal social participation and long sleep for females?,informal and formal social participation association long sleep for females.,2
5304,What is the relationship between COVID-19 and psychosocial work demands for these populations?,COVID-19 increase psychosocial work demands for these populations.,2
5305,What is the relationship between COVID-19 and individual-and institutional-level well-being?,COVID-19 impact individual-and institutional-level well-being.,2
5306,What is the relationship between COVID-19 and occupational demands?,COVID-19 increase occupational demands.,2
5307,What is the relationship between COVID-19 and work-life conflicts?,COVID-19 increase work-life conflicts.,2
5308,What is the relationship between examination and marked cranial abdominal pain?,examination reveal marked cranial abdominal pain.,2
5309,What is the relationship between ultrasound and diffuse peritonitis?,ultrasound consistent diffuse peritonitis.,2
5310,What is the relationship between gall bladder rupture in a ferret and bile peritonitis?,gall bladder rupture in a ferret secondary bile peritonitis.,2
5311,What is the relationship between classification loss and images suitable for the diagnosis?,classification loss transform images suitable for the diagnosis.,2
5312,What is the relationship between It and global pandemic?,It cause global pandemic.,2
5313,What is the relationship between systems medicine algorithms and network-based prediction of drugs?,systems medicine algorithms for network-based prediction of drugs.,2
5314,What is the relationship between SPSS 16 software and data?,SPSS 16 software analyse data.,2
5315,What is the relationship between Ensemble training methodology and outcomes of diabetes mellitus?,Ensemble training methodology predict outcomes of diabetes mellitus.,2
5316,What is the relationship between SARS-CoV-2 and pandemic of COVID-19?,SARS-CoV-2 cause pandemic of COVID-19.,2
5317,What is the relationship between Interventions and coronavirus pandemic?,Interventions suppress coronavirus pandemic.,2
5318,What is the relationship between shut-down of economic activities and coronavirus pandemic?,shut-down of economic activities suppress coronavirus pandemic.,2
5319,What is the relationship between laboratory-developed classspecific clinical serology and SARS-CoV-2 infection in hospitalized patients?,laboratory-developed classspecific clinical serology assess SARS-CoV-2 infection in hospitalized patients.,2
5320,What is the relationship between diagnostic thresholds and Pneumocystis jiroveci?,diagnostic thresholds for Pneumocystis jiroveci.,2
5321,What is the relationship between familial support from parents and household members' mental health?,familial support from parents impact household members' mental health.,2
5322,What is the relationship between transfer learning and traffic-dependent variables?,transfer learning fit traffic-dependent variables.,2
5323,What is the relationship between virtual cancer care and distress screening?,virtual cancer care support distress screening.,2
5324,What is the relationship between Camellia sinensis and COVID-19 outbreak?,Camellia sinensis prophylaxis COVID-19 outbreak.,2
5325,What is the relationship between blood glucose meters and patients?,blood glucose meters use patients.,2
5326,What is the relationship between Digital healthcare devices and self-checked glucose?,Digital healthcare devices track self-checked glucose.,2
5327,What is the relationship between extracellular mtDNA and inflammatory response?,extracellular mtDNA trigger inflammatory response.,2
5328,What is the relationship between extracellular telDNA pool and inflammatory pathways?,extracellular telDNA pool inhibit inflammatory pathways.,2
5329,What is the relationship between immune mediators (IM) and COVID-19 pathophysiology and severity?,immune mediators (IM) role COVID-19 pathophysiology and severity.,2
5330,What is the relationship between early IM profiles and clinical outcome?,early IM profiles predictive clinical outcome.,2
5331,What is the relationship between IL-6 and COVID-19 severity?,IL-6 predictor COVID-19 severity.,2
5332,What is the relationship between supplementary methods and relevant groups in Canada?,supplementary methods identify relevant groups in Canada.,2
5333,What is the relationship between websites and information?,websites extract information.,2
5334,What is the relationship between institutional priorities and teaching and research?,institutional priorities pull teaching and research.,2
5335,What is the relationship between macro-conditions and teaching and research?,macro-conditions separate teaching and research.,2
